image_id	image_path	level	mode	image_idx	node_id	label	prompt_text	path_labels	clip_cosine
000001.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000001.jpg	5	path	0	tm-ec7e7dqn	couronnement de la Vierge	a religious painting of couronnement de la Vierge, a vie de la Vierge in sujet	sujet -> Bible -> Nouveau Testament -> vie de la Vierge -> couronnement de la Vierge	0.2771627902984619
000001.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000001.jpg	5	raw	0	tm-ec7e7dqn	couronnement de la Vierge	couronnement de la Vierge	sujet -> Bible -> Nouveau Testament -> vie de la Vierge -> couronnement de la Vierge	0.2572236657142639
000001.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\000001.jpg	5	template	0	tm-ec7e7dqn	couronnement de la Vierge	a religious painting of couronnement de la Vierge	sujet -> Bible -> Nouveau Testament -> vie de la Vierge -> couronnement de la Vierge	0.28124138712882996
002476.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\002476.jpg	5	path	69	tm-g4qqthqd	Samuel et les anciens d'Israël	a religious painting of Samuel et les anciens d'Israël, a Samuel (sujets) in sujet	sujet -> Bible -> Ancien Testament -> Samuel (sujets) -> Samuel et les anciens d'Israël	0.2852858304977417
002476.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\002476.jpg	5	raw	69	tm-g4qqthqd	Samuel et les anciens d'Israël	Samuel et les anciens d'Israël	sujet -> Bible -> Ancien Testament -> Samuel (sujets) -> Samuel et les anciens d'Israël	0.21535168588161469
002476.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\002476.jpg	5	template	69	tm-g4qqthqd	Samuel et les anciens d'Israël	a religious painting of Samuel et les anciens d'Israël	sujet -> Bible -> Ancien Testament -> Samuel (sujets) -> Samuel et les anciens d'Israël	0.27002790570259094
002842.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\002842.jpg	5	path	82	tm-zgdxviae	pendaison d'Aman	a religious painting of pendaison d'Aman, a Esther (sujets) in sujet	sujet -> Bible -> Ancien Testament -> Esther (sujets) -> pendaison d'Aman	0.276900053024292
002842.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\002842.jpg	5	raw	82	tm-zgdxviae	pendaison d'Aman	pendaison d'Aman	sujet -> Bible -> Ancien Testament -> Esther (sujets) -> pendaison d'Aman	0.21755856275558472
002842.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\002842.jpg	5	template	82	tm-zgdxviae	pendaison d'Aman	a religious painting of pendaison d'Aman	sujet -> Bible -> Ancien Testament -> Esther (sujets) -> pendaison d'Aman	0.2788788676261902
004642.jpg	D:\O.D.I.L\data\image\sampled_400_images-20260108T160047Z-1-001\sampled_400_images\004642.jpg	5	path	135	tm-sqydxkbw	abattage du cochon	a religious painting of abattage du cochon, a mois de décembre in sujet	sujet -> agriculture, artisanat et commerce, vie quotidienne, calendrier -> calendrier (sujets) -> mois de décembre -> abattage du cochon	0.22205795347690582
